심각도,취약점 제목,발생지(파일),ISMS-P 위반사항,취약점 유형코드
HIGH,평문 API 키가 .env에 노출됨,.env,"ISMS-P 관점에서 인증정보의 평문 저장 및 비밀정보 보호조치 미흡에 해당할 수 있으며, 관리체계 상 비밀정보 보호 및 접근통제 요구사항 위반 가능성이 높습니다.",Credential Exposure
INFO,동적 urllib 사용 경고는 오탐으로 판단됨,core/tools/osv_checker.py,"직접적인 ISMS-P 위반으로 판단되지 않음. 본 항목은 실제 취약점이 아닌 오탐이며, 외부 API 호출 자체만으로 ISMS-P 위반이라고 볼 근거는 부족함.",정보노출 가능성 없음
INFO,Express 애플리케이션의 CSRF 보호 미들웨어 부재 경고,vuln-test-app/payment_api.js,"ISMS-P 2.10.2(클라우드 보안)의 관점에서, 관리자/사용자 접근통제와 보안설정 관리가 미흡한 상태로 상태 변경 기능을 제공하는 것은 비인가 접근 및 설정 오류 방지 통제 미흡에 해당할 수 있습니다. 다만 본 건은 클라우드 설정 자체보다 애플리케이션 보안 통제 부족에 더 가깝습니다.",CSRF Configuration Check
HIGH,사용자 입력을 그대로 eval()에 전달하는 원격 코드 실행 취약점,vuln-test-app/payment_api.js,"ISMS-P 2.10.2의 비인가 접근 방지 및 보안설정 요구사항에 부합하지 않으며, 애플리케이션 취약점으로 인해 중요정보 유출 위험을 높입니다. 또한 안전한 암호/보안 코딩 관점에서도 위반 소지가 큽니다.",RCE
HIGH,MD5 기반 비밀번호 검증으로 인한 취약한 암호연산,vuln-test-app/payment_api.js,ISMS-P 2.6.7(암호연산) 위반 소지가 명확합니다. 취약한 해시 알고리즘 사용으로 인해 개인정보 및 계정 인증정보 보호가 미흡합니다.,Weak Cryptography
HIGH,이체 로직의 IDOR 및 음수 금액 검증 부재로 인한 권한 우회/잔액 조작,vuln-test-app/payment_api.js,"ISMS-P 2.10.2의 비인가 접근 방지 및 권한 체계 통제 미흡에 해당할 수 있으며, 개인정보/자산의 무단 변경을 초래할 수 있습니다. 또한 접근권한 최소화 원칙에도 위배됩니다.",IDOR
MEDIUM,비밀번호 검증에 MD5를 사용하여 취약한 인증 로직이 구현됨,vuln-test-app/payment_api.js,ISMS-P 2.6.7(암호연산) 취지 위반: 취약한 해시 알고리즘(MD5)을 비밀번호 검증에 사용함. 또한 안전한 인증체계 요구사항에 부합하지 않음.,Weak Password Hashing
HIGH,사용자 입력을 eval()에 전달하여 원격 코드 실행 위험이 존재함,vuln-test-app/payment_api.js,"ISMS-P 2.10.2(클라우드 보안) 관점에서 비인가 실행/설정오류로 중요정보 및 서비스가 유·노출될 수 있는 통제 미흡에 해당할 수 있으며, 안전한 관리자/애플리케이션 접근통제 및 보안설정 요구에 반함.",Remote Code Execution
HIGH,이체 API의 접근통제 미흡으로 계정 도용 및 자금 탈취 가능,vuln-test-app/payment_api.js,"ISMS-P 2.10.2(클라우드 보안)에서 요구하는 비인가 접근 방지, 권한 체계, 감사기록 및 관리자/사용자 권한 최소화 원칙에 위배될 소지가 큼. 또한 자산·개인정보 처리 단계의 접근통제 미흡으로 볼 수 있음.",IDOR / Broken Access Control / Logic Bypass
HIGH,사용자 입력이 eval()에 직접 전달되어 원격 코드 실행이 가능한 취약점,vuln-test-app/payment_api.js,"ISMS-P 2.10.2 관점에서 비인가 입력 처리 및 보안 설정 미흡에 해당할 수 있으며, 외부 입력 검증·접근통제·보안설정 관리가 불충분한 상태로 볼 수 있습니다.",Code Injection / RCE
MEDIUM,비밀번호 해시에 MD5를 사용하여 인증 강도가 취약함,vuln-test-app/payment_api.js,ISMS-P 2.6.7(암호연산) 취지에 위배됩니다. 안전하지 않은 해시 알고리즘 사용으로 인증 정보 보호 조치가 미흡합니다.,Weak Cryptography
HIGH,이체 API에서 계좌 소유자 검증이 없어 타인 계좌 출금이 가능한 접근통제 취약점,vuln-test-app/payment_api.js,"ISMS-P 2.10.2의 접근통제 및 권한체계 요구사항에 부합하지 않으며, 비인가 접근 방지 및 권한 오·남용 방지 대책 미흡에 해당합니다.",IDOR / Broken Access Control
HIGH,음수 금액 검증 부재로 이체 로직이 역전되는 논리 우회 취약점,vuln-test-app/payment_api.js,"ISMS-P 2.10.2의 보안 설정 및 입력 검증, 무결성 보호 관점에서 미흡합니다.",Logic Bypass
HIGH,사용자 입력이 eval()로 전달되어 임의 코드 실행 가능,vuln-test-app/payment_api.js,"ISMS-P 2.10.2(클라우드 보안)의 관점에서 비인가 입력에 의한 관리자/애플리케이션 권한 오남용 및 보안 설정 미비로 중요정보 유출 위험이 있으며, 안전한 접속/권한통제/감사통제 원칙에 위배됩니다. 또한 동적 코드 실행 허용은 안전한 보호대책 미흡으로 평가됩니다.",Code Injection / RCE
